pk_participation;annee;sources;fk_personne;fk_evenement;fk_lieu;fk_liste
71;1977;4CHA-2/27;47;3;1;1
72;1977;4CHA-2/27;48;3;1;1
73;1961;4CHA-2/25;1;3;2;1
74;1961;4CHA-2/26;37;3;2;1
75;1965;4CHA-2/26;37;3;2;1
76;1977;4CHA-2/27;49;3;2;1
77;1977;4CHA-2/27;50;3;2;1
78;1977;4CHA-2/27;51;3;2;1
81;1969;4CHA-2/26;41;3;3;1
82;1969;4CHA-2/26;53;3;3;1
83;1969;4CHA-2/26;54;3;3;1
84;1969;4CHA-2/26;55;3;3;1
85;1961;4CHA-2/25;56;3;4;2
86;1969;4CHA-2/26;57;3;4;1
87;1969;4CHA-2/26;58;3;4;1
88;1957;4CHA-2/25;59;3;5;1
89;1957;4CHA-2/25;60;3;5;1
90;1953;4CHA-2/26;61;3;5;1
91;1957;4CHA-2/26;61;3;5;1
92;1961;4CHA-2/26;61;3;5;1
93;1965;4CHA-2/26;61;3;5;1
94;1969;4CHA-2/26;61;3;5;1
95;1973;4CHA-2/26;61;3;5;1
96;1977;4CHA-2/26;61;3;5;1
97;1961;4CHA-2/24;62;3;5;1
98;1953;4CHA-2/24;63;3;5;1
99;1957;4CHA-2/24;63;3;5;1
100;1961;4CHA-2/24;63;3;5;1
101;1965;4CHA-2/24;63;3;5;1
102;1969;4CHA-2/24;63;3;5;1
103;1953;4CHA-2/24;64;3;5;1
104;1957;4CHA-2/24;64;3;5;1
105;1961;4CHA-2/24;64;3;5;1
106;1965;4CHA-2/24;64;3;5;1
107;1969;4CHA-2/24;64;3;5;1
108;1973;4CHA-2/24;64;3;5;1
109;1961;4CHA-2/24;65;3;5;1
110;1953;4CHA-2/24;66;3;5;1
111;1957;4CHA-2/24;66;3;5;1
112;1961;4CHA-2/24;66;3;5;1
113;1965;4CHA-2/24;66;3;5;1
114;1953;4CHA-2/24;67;3;5;1
115;1957;4CHA-2/24;67;3;5;1
116;1961;4CHA-2/24;67;3;5;1
117;1965;4CHA-2/24;67;3;5;1
118;1961;4CHA-2/24;68;3;5;1
119;1965;4CHA-2/25;5;3;5;1
120;1969;4CHA-2/25;5;3;5;1
121;1965;4CHA-2/25;70;3;5;1
122;1969;4CHA-2/25;70;3;5;1
123;1965;4CHA-2/25;71;3;5;1
124;1953;4CHA-2/25;72;3;5;1
125;1965;4CHA-2/25;72;3;5;1
126;1969;4CHA-2/26;73;3;5;1
127;1969;4CHA-2/26;74;3;5;1
128;1977;4CHA-2/26;74;3;5;1
129;1973;4CHA-2/27;75;3;5;1
130;1977;4CHA-2/27;75;3;5;1
131;1973;4CHA-2/27;76;3;5;1
132;1977;4CHA-2/27;77;3;5;1
133;1977;4CHA-2/27;11;3;5;1
134;1977;4CHA-2/27;79;3;5;1
135;1977;4CHA-2/27;80;3;5;1
136;1977;4CHA-2/27;81;3;5;1
137;1953;4CHA-2/24;82;3;6;1
138;1957;4CHA-2/24;82;3;6;1
139;1961;4CHA-2/24;82;3;6;1
140;1953;4CHA-2/24;83;3;6;1
141;1957;4CHA-2/24;83;3;6;1
142;1961;4CHA-2/24;83;3;6;1
143;1965;4CHA-2/24;83;3;6;1
144;1969;4CHA-2/24;83;3;6;1
145;1953;4CHA-2/24;84;3;6;1
146;1957;4CHA-2/24;84;3;6;1
147;1961;4CHA-2/24;84;3;6;1
148;1965;4CHA-2/24;84;3;6;1
149;1969;4CHA-2/24;84;3;6;1
150;1973;4CHA-2/24;84;3;6;1
151;1977;4CHA-2/24;84;3;6;1
152;1953;4CHA-2/24;85;3;6;1
153;1957;4CHA-2/24;85;3;6;1
154;1961;4CHA-2/24;85;3;6;1
155;1965;4CHA-2/24;85;3;6;1
156;1953;4CHA-2/24;86;3;6;1
157;1957;4CHA-2/24;86;3;6;1
158;1957;4CHA-2/25;87;3;6;1
159;1957;4CHA-2/25;88;3;6;1
160;1953;4CHA-2/25;21;3;6;1
161;1969;4CHA-2/25;21;3;6;1
162;1973;4CHA-2/25;21;3;6;1
163;1953;4CHA-2/24;89;3;6;1
164;1957;4CHA-2/24;89;3;6;1
165;1953;4CHA-2/24;90;3;6;1
166;1953;4CHA-2/24;91;3;6;1
167;1953;4CHA-2/24;92;3;6;1
168;1957;4CHA-2/24;92;3;6;1
169;1961;4CHA-2/25;3;3;6;1
170;1965;4CHA-2/25;3;3;6;1
171;1969;4CHA-2/25;3;3;6;1
172;1961;4CHA-2/25;94;3;6;1
173;1965;4CHA-2/25;94;3;6;1
174;1969;4CHA-2/25;94;3;6;1
175;1973;4CHA-2/25;94;3;6;1
176;1977;4CHA-2/25;94;3;6;1
177;1961;4CHA-2/25;95;3;6;1
178;1965;4CHA-2/25;95;3;6;1
179;1961;4CHA-2/25;2;3;6;1
180;1965;4CHA-2/25;2;3;6;1
181;1969;4CHA-2/25;2;3;6;1
182;1973;4CHA-2/25;2;3;6;1
183;1977;4CHA-2/25;2;3;6;1
184;1957;4CHA-2/25;97;3;6;1
185;1961;4CHA-2/25;97;3;6;1
186;1961;4CHA-2/25;4;3;6;1
187;1965;4CHA-2/25;4;3;6;1
188;1969;4CHA-2/25;4;3;6;1
189;1973;4CHA-2/25;4;3;6;1
190;1961;4CHA-2/25;99;3;6;1
191;1961;4CHA-2/25;100;3;6;1
192;1961;4CHA-2/25;101;3;6;1
193;1969;4CHA-2/25;101;3;6;1
194;1973;4CHA-2/25;101;3;6;1
195;1961;4CHA-2/25;102;3;6;1
196;1961;4CHA-2/25;103;3;6;2
197;1961;4CHA-2/25;104;3;6;2
198;1961;4CHA-2/25;105;3;6;2
199;1961;4CHA-2/25;106;3;6;2
200;1961;4CHA-2/25;107;3;6;2
201;1961;4CHA-2/25;108;3;6;2
202;1965;4CHA-2/25;109;3;6;1
203;1969;4CHA-2/25;109;3;6;1
204;1973;4CHA-2/25;109;3;6;1
205;1965;4CHA-2/25;110;3;6;1
206;1965;4CHA-2/25;111;3;6;1
207;1969;4CHA-2/25;111;3;6;1
208;1973;4CHA-2/25;111;3;6;1
210;1965;4CHA-2/25;113;3;6;1
211;1965;4CHA-2/25;114;3;6;1
212;1965;4CHA-2/25;115;3;6;1
213;1969;4CHA-2/25;115;3;6;1
214;1973;4CHA-2/25;115;3;6;1
215;1965;4CHA-2/25;116;3;6;1
216;1969;4CHA-2/27;117;3;6;1
217;1973;4CHA-2/27;117;3;6;1
218;1977;4CHA-2/27;117;3;6;1
219;1973;4CHA-2/27;118;3;6;1
220;1977;4CHA-2/27;118;3;6;1
221;1973;4CHA-2/27;119;3;6;1
222;1973;4CHA-2/27;120;3;6;1
223;1973;4CHA-2/27;121;3;6;1
224;1977;4CHA-2/27;122;3;6;1
225;1977;4CHA-2/27;123;3;6;1
226;1977;4CHA-2/27;124;3;6;1
227;1973;4CHA-2/26;43;3;6;1
228;1973;4CHA-2/26;43;3;6;1
229;1977;4CHA-2/27;125;3;6;1
230;1977;4CHA-2/27;126;3;6;1
231;1957;4CHA-2/25;12;3;1;1
232;1977;4CHA-2/27;289;3;2;1
233;1969;4CHA-2/26;8;3;3;1
234;1965;4CHA-2/25;112;3;6;1
